record_id,record_date,boat_id,boat_type,engine_model,engine_age_years,total_engine_hours,avg_daily_operating_hours,last_maintenance_date,last_maintenance_type,days_since_last_maintenance,hours_since_last_service,engine_temp_c,oil_pressure_bar,coolant_level_percent,engine_rpm,fuel_consumption_lph,vibration_level,unusual_sounds,oil_change_days_ago,filter_change_days_ago,sea_condition,hull_condition,last_inspection_days,condition_severity,maintenance_reason,maintenance_condition_notes,days_until_maintenance,maintenance_needed_soon,maintenance_due_date
R0001,2023-01-01,FB003,Seiner,Cummins 6BT5.9,2.5,4261,5,2022-09-04,Oil & filter change,119,595,86.5,3.74,92,1589,69.2,4,Yes,50,40,5,Good,25,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; oil_change_overdue=50days; sea_state=5,29,No,2023-01-30
R0002,2023-01-01,FB024,Net Boat,Perkins M92,7.7,15108,8,2022-12-24,Routine inspection,8,64,83.7,3.88,86,1446,47.7,1,No,43,51,4,Fair,39,Normal,Routine preventive maintenance,sea_state=4,15,No,2023-01-16
R0003,2023-01-01,FB020,Trawler,Cummins 6BTA,2.2,4395,5,2022-11-27,Fuel filter replacement,35,176,85.2,5.13,92,1195,41.1,5,No,46,43,3,Good,20,Normal,Oil change due soon,vibration=5; oil_change_overdue=46days,43,No,2023-02-13
R0004,2023-01-02,FB014,Net Boat,MAN D2862,2.6,4895,5,2022-09-30,Cooling system service,94,473,99.3,3.81,92,1660,67.4,3,No,48,57,3,Fair,36,Normal,Overheating risk,temp=99.3C; vibration=3; oil_change_overdue=48days; filter_overdue=57days,8,No,2023-01-10
R0005,2023-01-02,FB013,Seiner,John Deere 6068,5.2,10712,5,2022-07-31,Major service,155,777,89.2,4.46,94,1511,60.7,3,No,11,14,4,Good,18,Normal,Service interval reached (hours),temp=89.2C; vibration=3; service_hours=777; sea_state=4,61,No,2023-03-04
R0006,2023-01-03,FB026,Longline,Caterpillar C7.1,2.0,3860,4,2022-12-14,Routine inspection,20,82,83.4,3.44,90,1094,19.0,2,No,20,26,2,Good,18,Normal,Routine preventive maintenance,All parameters normal,21,No,2023-01-24
R0007,2023-01-03,FB003,Seiner,Cummins 6BT5.9,1.9,3317,7,2022-10-18,Oil & filter change,77,541,98.7,3.64,97,1545,51.1,2,No,31,37,2,Good,25,Normal,Overheating risk,temp=98.7C,24,No,2023-01-27
R0008,2023-01-04,FB021,Longline,Volvo D6-310,1.5,2860,6,2022-10-04,Fuel filter replacement,92,557,84.9,2.75,93,1084,21.5,4,Yes,16,10,3,Good,25,Normal,Abnormal vibration/noise,oil_pressure=2.75bar; vibration=4; unusual_sounds,3,Yes,2023-01-07
R0009,2023-01-04,FB007,Gillnetter,Volvo D4-180,4.6,9312,6,2022-10-09,Fuel filter replacement,87,526,78.1,3.34,89,1267,44.2,1,No,30,31,4,Good,10,Normal,Routine preventive maintenance,sea_state=4,22,No,2023-01-26
R0010,2023-01-05,FB003,Seiner,Cummins 6BT5.9,6.9,13962,5,2022-09-16,Oil & filter change,111,559,81.6,3.68,91,1434,45.1,4,Yes,40,49,2,Fair,22,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,2,Yes,2023-01-07
